MemAvailable(kB)
1404312 
1404084 
1403928 
1404072 
1404072 
1403948 
1403948 
1403948 
1403684 
1403824 
1403872 
1403872 
1403980 
1403996 
1404104 
1404104 
1404104 
1404120 
1404120 
1403996 
1403996 
1404120 
1403996 
1403996 
1404072 
1403996 
1403948 
1403980 
1404104 
1403856 
1404092 
1404184 
1403956 
1403800 
1403692 
1385368 
1352592 
1318948 
1285692 
1252460 
1219124 
1186104 
1152452 
1119460 
1086132 
1053108 
1020028 
986868 
954036 
920912 
887692 
854144 
820584 
787420 
762520 
761552 
761696 
761708 
761772 
761752 
761744 
762128 
762424 
762212 
762088 
762136 
762352 
762260 
762384 
762400 
762416 
762524 
762404 
762400 
762384 
762500 
762512 
762412 
762592 
762580 
762524 
762540 
762420 
762500 
762292 
762352 
762228 
762228 
762400 
761948 
762284 
762252 
762244 
761972 
762064 
762200 
762352 
762236 
762268 
762148 
762164 
762372 
762352 
762300 
762296 
762368 
762296 
762340 
762052 
762332 
762076 
762208 
762336 
762204 
761316 
758232 
758064 
757880 
757780 
757712 
757588 
757388 
757436 
757108 
757088 
757156 
757272 
757156 
757032 
757164 
757204 
757172 
757168 
757088 
756864 
756872 
757044 
756992 
757072 
757072 
757156 
757072 
757012 
757200 
757324 
757332 
757348 
757416 
757588 
757460 
757300 
757344 
757468 
757344 
757344 
757344 
757344 
757220 
757096 
757220 
757220 
757344 
757344 
757048 
757220 
757280 
757188 
757212 
757352 
757272 
757320 
757196 
757108 
757168 
753540 
628532 
627796 
627640 
627412 
626908 
630328 
600500 
601192 
613640 
613912 
599160 
595748 
595696 
600752 
583416 
581708 
583020 
595992 
596524 
597068 
595848 
598128 
617892 
617468 
612320 
628288 
627552 
630140 
627148 
627144 
633596 
604684 
605580 
603104 
615668 
615136 
600240 
584212 
600352 
615292 
632528 
591408 
588036 
605320 
610432 
604676 
569248 
585200 
564728 
584300 
601464 
620392 
617884 
573976 
556072 
560064 
577464 
594812 
599000 
610600 
611576 
618332 
625200 
633936 
594544 
597480 
595032 
581860 
561448 
563812 
565288 
582592 
602272 
600404 
596824 
603976 
604120 
602732 
597728 
615332 
616344 
583496 
580384 
579692 
597912 
614172 
617516 
602484 
600968 
611060 
607596 
544856 
557036 
555424 
574420 
570748 
570896 
572576 
568648 
577704 
577372 
595044 
597076 
598108 
706568 
731168 
731044 
731044 
731016 
730952 
730932 
730900 
730904 
730760 
730964 
730848 
730924 
730940 
730820 
730904 
730720 
730792 
730820 
730792 
730684 
730864 
730960 
730908 
730856 
730904 
730916 
730768 
730972 
730912 
730820 
730576 
730728 
730588 
730840 
730960 
730964 
730812 
730888 
730864 
730644 
730840 
730912 
730976 
730992 
730808 
730844 
730768 
730824 
730792 
730836 
730756 
730792 
730920 
731056 
730792 
730944 
731020 
730856 
730828 
